YEAR,MONTH,ALLSKY_SFC_SW_DWN,CLOUD_AMT,CLRSKY_KT,PRECTOTCORR,PS,PSC,RH2M,T2M,WD10M,WS10M,WS2M,WSC
2011,JAN,5.05,26.75,0.68,0.0,94.11,76.32,67.74,16.63,61.1,2.39,1.41,3.01
2011,JUL,3.86,86.97,0.65,9.49,93.08,75.93,84.98,24.81,234.7,3.84,2.68,4.6
2011,JUN,4.25,90.66,0.62,3.09,93.1,76.02,75.96,26.18,251.4,4.35,3.07,5.1
2011,MAR,6.23,31.78,0.69,0.0,93.86,76.62,42.66,25.76,310.5,2.74,1.77,3.3
2011,MAY,6.17,59.17,0.65,5.42,93.39,76.43,55.68,29.52,244.8,3.49,2.4,4.22
2011,NOV,4.95,23.78,0.65,0.0,94.11,76.46,77.76,18.94,59.1,2.57,1.46,3.42
2011,OCT,5.31,42.92,0.65,0.43,93.86,76.44,81.84,22.41,50.8,2.23,1.35,2.88
2011,SEP,3.82,84.8,0.66,8.7,93.36,76.1,89.5,23.73,270.1,3.35,2.23,4.15
2012,ANN,4.74,60.7,0.66,5.05,93.63,76.34,66.99,23.97,258.4,3.4,2.25,4.15
2012,APR,6.48,52.35,0.69,3.41,93.63,76.66,43.76,30.14,238.0,3.41,2.38,4.11
2012,AUG,3.08,92.33,0.66,15.85,93.19,75.96,92.01,23.7,248.7,4.63,3.21,5.45
2012,DEC,4.69,33.06,0.67,0.0,94.13,76.39,74.32,17.55,70.7,2.55,1.44,3.29
2012,FEB,5.6,35.96,0.68,0.0,93.96,76.55,40.74,22.98,45.9,2.74,1.68,3.57
2012,JAN,4.63,34.94,0.66,0.5,94.1,76.49,59.23,19.69,85.6,2.65,1.65,3.36
2012,JUL,2.84,95.15,0.64,16.35,93.05,75.87,88.86,24.08,251.4,4.86,3.43,5.56
2012,JUN,4.52,88.68,0.64,5.25,93.1,76.1,67.1,27.76,260.1,4.3,3.07,4.96
2012,MAR,6.23,40.69,0.68,0.05,93.83,76.65,27.45,26.9,353.1,3.11,2.02,3.75
2012,MAY,6.15,63.48,0.66,2.57,93.3,76.39,51.63,30.08,248.7,3.24,2.2,4.03
2012,NOV,4.16,45.79,0.65,2.69,93.99,76.38,83.24,19.34,73.4,2.97,1.81,3.86
2012,OCT,4.8,54.87,0.64,1.71,93.91,76.45,83.91,21.75,63.5,2.83,1.74,3.64
2012,SEP,3.7,91.14,0.65,12.23,93.43,76.16,91.68,23.62,273.3,3.46,2.31,4.3
2013,ANN,4.68,60.98,0.66,4.31,93.64,76.33,70.55,23.83,254.0,3.43,2.29,4.19
2013,APR,6.44,38.18,0.68,2.93,93.65,76.65,44.42,29.71,243.6,3.3,2.29,3.97
2013,AUG,3.54,89.53,0.66,6.99,93.19,75.98,89.59,23.99,256.1,3.82,2.64,4.57
2013,DEC,4.38,38.07,0.65,0.01,94.17,76.37,79.48,16.66,64.5,2.66,1.57,3.46
2013,FEB,5.29,40.21,0.67,0.17,94.12,76.65,50.88,22.44,86.8,2.87,1.83,3.75
2013,JAN,4.67,31.82,0.64,0.02,94.23,76.56,64.48,19.15,66.2,2.55,1.54,3.33
2013,JUL,2.84,95.45,0.67,9.45,92.91,75.75,89.39,23.98,252.9,5.33,3.76,6.04
2013,JUN,3.77,88.17,0.63,14.1,93.02,75.92,82.42,25.45,251.2,4.35,3.1,5.01
2013,MAR,6.03,41.41,0.67,0.02,93.94,76.76,34.21,27.12,301.5,2.91,1.9,3.61
2013,MAY,6.47,63.36,0.66,1.3,93.23,76.41,47.14,31.61,238.3,4.6,3.29,5.26
2013,NOV,4.47,46.21,0.65,1.02,94.1,76.46,85.66,19.25,61.9,2.82,1.7,3.68
2013,OCT,3.92,75.7,0.65,8.69,93.68,76.3,89.54,22.65,70.8,3.38,2.18,4.23
2013,SEP,4.33,83.6,0.65,7.06,93.42,76.16,89.37,23.96,260.7,2.6,1.71,3.38
2014,ANN,4.68,61.07,0.65,4.54,93.74,76.41,70.56,23.56,279.4,3.26,2.15,3.98
2014,APR,6.15,49.96,0.65,1.49,93.78,76.79,38.79,30.2,268.1,2.82,1.9,3.45
2014,AUG,3.59,90.37,0.65,11.13,93.3,76.08,89.91,24.18,261.4,3.66,2.51,4.42
2014,DEC,4.08,52.18,0.63,0.29,94.22,76.4,72.8,16.42,67.6,2.73,1.59,3.58
2014,FEB,5.56,29.91,0.68,0.17,94.02,76.49,57.63,20.82,182.5,2.72,1.72,3.45
2014,JAN,4.39,36.74,0.62,0.09,94.33,76.58,77.56,18.03,78.2,2.43,1.41,3.22
2014,JUL,2.87,95.68,0.64,14.41,93.06,75.91,85.9,24.62,262.0,5.4,3.78,6.25
2014,JUN,4.93,79.11,0.63,5.28,93.13,76.16,65.27,28.44,260.7,4.22,2.98,4.99
2014,MAR,5.42,50.97,0.66,0.88,94.05,76.78,50.5,25.78,309.4,2.39,1.57,2.89
2014,MAY,6.2,62.65,0.67,3.43,93.5,76.51,54.45,29.38,243.9,3.51,2.48,4.2
2014,NOV,4.58,46.18,0.64,0.17,94.12,76.46,79.04,18.94,49.2,2.62,1.56,3.35
2014,OCT,4.54,56.14,0.64,3.8,93.91,76.47,86.01,22.2,62.0,3.13,1.99,3.82
2014,SEP,3.87,82.93,0.65,13.37,93.48,76.2,88.81,23.71,289.5,3.45,2.32,4.17
2015,ANN,4.8,60.22,0.65,5.05,93.81,76.47,70.22,23.74,266.1,3.01,1.98,3.75
2015,APR,6.18,41.82,0.68,2.28,93.8,76.7,50.74,28.26,237.2,3.26,2.25,3.92
2015,AUG,3.57,93.61,0.65,14.5,93.35,76.13,89.33,24.44,263.7,3.71,2.56,4.56
2015,DEC,4.37,39.84,0.64,0.41,94.31,76.64,73.02,19.44,84.6,2.28,1.35,2.91
2015,FEB,5.6,37.48,0.69,0.12,94.17,76.66,46.19,21.9,47.0,2.53,1.59,3.2
2015,JAN,4.8,30.86,0.67,0.21,94.28,76.5,62.23,17.26,54.4,2.7,1.57,3.5
2015,JUL,4.05,95.02,0.63,5.68,93.24,76.05,88.45,24.53,260.8,4.09,2.84,5.02
2015,JUN,3.63,90.63,0.63,17.48,93.21,76.08,81.26,25.72,254.7,4.05,2.85,4.72
2015,MAR,5.71,50.95,0.66,1.12,94.09,76.85,44.97,26.5,273.0,2.66,1.79,3.29
2015,MAY,6.3,58.59,0.66,2.2,93.5,76.54,51.84,30.0,242.8,3.09,2.1,3.82
2015,NOV,4.29,47.87,0.64,0.72,94.16,76.54,84.28,19.78,76.0,3.05,1.82,4.07
2015,OCT,4.96,48.34,0.63,1.07,94.03,76.6,79.88,22.94,59.4,2.14,1.32,2.65
2015,SEP,4.19,87.64,0.63,14.84,93.58,76.3,90.44,24.07,304.0,2.55,1.67,3.28
2016,ANN,4.85,60.62,0.66,4.64,93.7,76.41,67.11,24.17,256.7,3.18,2.12,3.85
2016,APR,6.77,31.53,0.68,0.71,93.66,76.75,37.26,31.34,243.9,3.92,2.72,4.75
2016,AUG,3.92,85.54,0.66,12.35,93.2,76.0,89.83,24.16,255.7,4.07,2.79,4.86
2016,DEC,4.42,39.26,0.65,0.03,94.18,76.4,72.03,17.01,58.3,2.5,1.46,3.2
2016,FEB,5.23,43.55,0.65,0.11,94.16,76.79,49.19,24.35,214.3,2.51,1.61,3.11
2016,JAN,4.59,40.89,0.65,0.01,94.28,76.6,50.76,19.1,29.3,2.49,1.5,3.03
2016,JUL,3.41,95.87,0.66,12.07,93.19,75.99,89.58,24.21,238.4,4.65,3.26,5.42
2016,JUN,4.63,86.15,0.65,12.72,93.2,76.14,76.58,26.83,249.1,3.33,2.37,3.89
2016,MAR,5.84,52.65,0.66,1.54,93.99,76.81,42.37,27.47,250.1,2.8,1.85,3.41
2016,MAY,6.2,65.75,0.69,2.1,93.4,76.52,46.42,31.17,247.8,3.74,2.64,4.4
2016,NOV,4.89,31.41,0.65,0.07,94.1,76.44,76.78,18.77,46.4,2.31,1.43,2.8
2016,OCT,4.64,65.27,0.64,3.03,93.75,76.31,83.24,21.63,4.0,2.56,1.6,3.26
2016,SEP,3.6,89.6,0.65,10.91,93.34,76.1,91.32,24.04,234.8,3.27,2.19,4.13
2017,ANN,4.9,54.61,0.66,4.89,93.71,76.4,67.28,24.04,262.3,3.08,2.04,3.75
2017,APR,6.64,29.17,0.66,0.46,93.6,76.69,33.46,31.24,252.1,3.89,2.7,4.65
2017,AUG,3.57,94.7,0.65,11.89,93.22,76.02,90.06,24.28,246.3,3.14,2.16,3.89
2017,DEC,4.59,23.52,0.64,0.0,94.23,76.4,75.95,16.29,62.2,2.69,1.54,3.43
2017,FEB,5.81,10.18,0.68,0.0,94.19,76.71,40.32,22.45,27.8,2.63,1.66,3.09
2017,JAN,4.66,34.69,0.65,0.0,94.24,76.52,55.78,18.25,48.9,2.55,1.51,3.15
2017,JUL,3.59,97.78,0.65,21.5,93.2,76.01,88.17,24.48,250.3,4.78,3.36,5.59
2017,JUN,3.8,91.91,0.63,9.37,93.21,76.12,78.68,26.39,245.4,3.94,2.82,4.5
2017,MAR,6.3,23.48,0.68,0.47,93.84,76.66,40.04,26.85,256.9,2.99,1.98,3.65
2017,MAY,6.28,56.68,0.66,2.05,93.44,76.58,44.78,31.72,241.4,3.25,2.29,3.95
2017,NOV,4.61,39.55,0.66,0.12,94.03,76.39,84.74,18.99,53.9,2.99,1.81,3.84
